rhoc,M,R,Lambda,I,Mb
1.448171859296483500e+15,2.026917786049376335e+00,2.000000000000101963e+01,2.135719629666723307e+01,2.350723046255648097e+00,2.335291078070962367e+00
1.457239798994976000e+15,2.027521579928188711e+00,2.000000000000101963e+01,2.101240405736718486e+01,2.345796091436362918e+00,2.336118397692223958e+00
1.466307738693468500e+15,2.028057401739463028e+00,2.000000000000101963e+01,2.069431281021095970e+01,2.341022772270596519e+00,2.336853010647690354e+00
1.475375678391961000e+15,2.028538956120804038e+00,2.000000000000101963e+01,2.038584527461532758e+01,2.336295300252988483e+00,2.337507430154417420e+00
1.484443618090453500e+15,2.028976570937332191e+00,2.000000000000101963e+01,2.009294438294352148e+01,2.331590105767778365e+00,2.338103034820193660e+00
1.493511557788946000e+15,2.029369719266266081e+00,2.000000000000101963e+01,1.981127819106338706e+01,2.326904255421097023e+00,2.338634637188766519e+00
1.502579497487438250e+15,2.029721180502607414e+00,2.000000000000101963e+01,1.953490568813141337e+01,2.322214505079418956e+00,2.339107693800228205e+00
1.511647437185930750e+15,2.030035602362575187e+00,2.000000000000101963e+01,1.926834503914030705e+01,2.317516296746609417e+00,2.339531468601911079e+00
1.520715376884423250e+15,2.030309435939555485e+00,2.000000000000101963e+01,1.901102821925156761e+01,2.312816963781741286e+00,2.339895253874007430e+00
1.529783316582915750e+15,2.030543723024861524e+00,2.000000000000101963e+01,1.876354512155057108e+01,2.308118554148727686e+00,2.340201915387318810e+00
1.538851256281408250e+15,2.030744192397653247e+00,2.000000000000101963e+01,1.852300647375538389e+01,2.303408474639275116e+00,2.340462199489012018e+00
1.547919195979900750e+15,2.030909822354917793e+00,2.000000000000101963e+01,1.828726580545497526e+01,2.298680378256232615e+00,2.340673706985127112e+00
1.556987135678393250e+15,2.031039842393532080e+00,2.000000000000101963e+01,1.806241774193763661e+01,2.293931421887590805e+00,2.340833778485928995e+00
1.566055075376885750e+15,2.031135152225319374e+00,2.000000000000101963e+01,1.783902076298988959e+01,2.289180571872289072e+00,2.340943552047704657e+00
1.575123015075378250e+15,2.031198290498191561e+00,2.000000000000101963e+01,1.762261345698371429e+01,2.284402648559396454e+00,2.341006000687911204e+00
1.584190954773870500e+15,2.031231655270147041e+00,2.000000000000101963e+01,1.741342577626906873e+01,2.279630322982626911e+00,2.341030822245350418e+00
1.593258894472363000e+15,2.031232018528953631e+00,2.000000000000101963e+01,1.721155383633900726e+01,2.274825032105999068e+00,2.341005491045569542e+00
1.602326834170855500e+15,2.031202517555771525e+00,2.000000000000101963e+01,1.700739793269656275e+01,2.270013340621767739e+00,2.340938886081866066e+00
1.611394773869348000e+15,2.031141582572834725e+00,2.000000000000101963e+01,1.681627237644748973e+01,2.265180492936575529e+00,2.340826334439376488e+00
1.620462713567840500e+15,2.031053325656472897e+00,2.000000000000101963e+01,1.662775566138029504e+01,2.260338057370746778e+00,2.340674399440369147e+00
1.629530653266333000e+15,2.030937131483656177e+00,2.000000000000101963e+01,1.644163761349885533e+01,2.255479817798470066e+00,2.340483467735487988e+00
1.638598592964825500e+15,2.030792701774760900e+00,2.000000000000101963e+01,1.626244856180585430e+01,2.250617496983555288e+00,2.340251830848258052e+00
