rhoc,M,R,Lambda,I,Mb
8.732211055276381250e+14,1.373775126703743243e+00,1.180004100000010325e+01,4.402906615069548479e+02,1.338739795675137012e+00,1.513057323826754175e+00
8.850251256281406250e+14,1.393375149838488314e+00,1.179004105000010227e+01,3.996425635432790386e+02,1.363635801000019576e+00,1.537331058504167958e+00
8.968291457286431250e+14,1.412138559013249584e+00,1.177004115000010032e+01,3.643426133964485985e+02,1.387484426335219512e+00,1.560660738337523279e+00
9.086331658291456250e+14,1.430091416030936591e+00,1.176004120000009934e+01,3.335102655657658488e+02,1.410285258918321016e+00,1.583070474523525784e+00
9.204371859296482500e+14,1.449255958207114725e+00,1.175004125000009836e+01,3.034589810247004493e+02,1.434587254110891497e+00,1.607090357206573117e+00
9.322412060301507500e+14,1.468734222233630593e+00,1.173004135000009640e+01,2.757018407989830848e+02,1.459273350723315099e+00,1.631604817745397229e+00
9.440452261306532500e+14,1.487359293640218905e+00,1.172004140000009365e+01,2.515246331355236293e+02,1.482846640908766389e+00,1.655143663102249585e+00
9.558492462311557500e+14,1.505170499438430065e+00,1.170004150000009169e+01,2.303661299576295107e+02,1.505355680664063778e+00,1.677745210601355508e+00
9.676532663316582500e+14,1.522208123028903959e+00,1.169004155000009071e+01,2.117850021919107348e+02,1.526845306084158249e+00,1.699450419084510999e+00
9.794572864321607500e+14,1.538505288166396756e+00,1.167004165000008875e+01,1.953795407271363729e+02,1.547347154933840008e+00,1.720292407590938710e+00
9.912613065326632500e+14,1.554095283388844617e+00,1.166004170000008777e+01,1.808356754029906028e+02,1.566892798090483208e+00,1.740305526542820003e+00
1.003065326633165750e+15,1.570497500244187883e+00,1.164004180000008581e+01,1.666705093473803743e+02,1.587388169884707434e+00,1.761441878695287677e+00
1.014869346733668250e+15,1.587123236390564962e+00,1.162004190000008386e+01,1.533793789580649616e+02,1.608055396120144032e+00,1.782953708419980687e+00
1.026673366834170750e+15,1.603018209531325899e+00,1.161004195000008288e+01,1.416263290247887596e+02,1.627740735095746238e+00,1.803600354216671420e+00
1.038477386934673250e+15,1.618204318657005425e+00,1.159004205000007914e+01,1.311957440386922826e+02,1.646452958136450206e+00,1.823402759114664873e+00
1.050281407035175875e+15,1.632729294491069405e+00,1.157004215000007719e+01,1.218987515467876648e+02,1.664271097207304706e+00,1.842412371933316972e+00
1.062085427135678375e+15,1.646615239325869062e+00,1.155004225000007523e+01,1.135936286072621897e+02,1.681203040849217789e+00,1.860651927710425868e+00
1.073889447236180875e+15,1.659883755055602261e+00,1.154004230000007425e+01,1.061313643497813928e+02,1.697266336954983634e+00,1.878144688394257855e+00
1.085693467336683375e+15,1.673665512550964074e+00,1.152004240000007229e+01,9.886419941620266627e+01,1.713840857874205037e+00,1.896378823796409430e+00
1.097497487437185875e+15,1.687637003488632548e+00,1.150004250000007033e+01,9.196128759079188342e+01,1.730514656339497082e+00,1.914933227847777308e+00
1.109301507537688375e+15,1.700974268793941757e+00,1.148004260000006838e+01,8.577613588659255583e+01,1.746302536974136732e+00,1.932711943639661145e+00
1.121105527638190875e+15,1.713718249247114578e+00,1.146004270000006464e+01,8.021830699584421609e+01,1.761263459352852889e+00,1.949760457374763334e+00
1.132909547738693500e+15,1.725893385891787979e+00,1.144004280000006268e+01,7.520541182285174386e+01,1.775430940970161409e+00,1.966104905295775529e+00
1.144713567839196000e+15,1.737530569109775325e+00,1.143004285000006170e+01,7.067415914706440105e+01,1.788846995490823932e+00,1.981781087747115144e+00
1.156517587939698500e+15,1.748637781130651270e+00,1.141004295000005975e+01,6.656574302727406689e+01,1.801497727374741897e+00,1.996795607445957854e+00
1.168321608040201000e+15,1.760068987202270563e+00,1.139004305000005779e+01,6.255990171354457630e+01,1.814413448898140713e+00,2.012297450017945799e+00
