rhoc,M,R,Lambda,I,Mb
1.701989949748743750e+15,2.650214042856122276e+00,1.214003930000014186e+01,2.997268771603462056e+00,3.809206917905626266e+00,3.170802763725456774e+00
1.717547738693467250e+15,2.645574220899851170e+00,1.212003940000013991e+01,2.971092794292103267e+00,3.785692661447291663e+00,3.162929839689732514e+00
1.733105527638190750e+15,2.640900170678014192e+00,1.209003955000013519e+01,2.946210322897327760e+00,3.762241414784062155e+00,3.154996505502686954e+00
1.748663316582914500e+15,2.636165733124013588e+00,1.207003965000013324e+01,2.921853414895672518e+00,3.738729790188386914e+00,3.146968611333724741e+00
1.764221105527638000e+15,2.631481095288805250e+00,1.204003980000013030e+01,2.898985400638363519e+00,3.715681208435489324e+00,3.139013049289133939e+00
1.779778894472361750e+15,2.626835282125398408e+00,1.202003990000012834e+01,2.877301108386201456e+00,3.693042633756331572e+00,3.131128445105812563e+00
1.795336683417085250e+15,2.622217817332292977e+00,1.200004000000012638e+01,2.857181293015271351e+00,3.670739175799373921e+00,3.123282091356920809e+00
1.810894472361809000e+15,2.617499057732232792e+00,1.198004010000012265e+01,2.836988442467158311e+00,3.648156175237323495e+00,3.115276207693998600e+00
1.826452261306532500e+15,2.612826790762801998e+00,1.195004025000011971e+01,2.818292159309800926e+00,3.625990464332013552e+00,3.107339589003486058e+00
1.842010050251256250e+15,2.608216586239435753e+00,1.193004035000011775e+01,2.800506729576540899e+00,3.604303330734551558e+00,3.099512499404241783e+00
1.857567839195979750e+15,2.603645336669259347e+00,1.191004045000011580e+01,2.783481785109101381e+00,3.582975152687808418e+00,3.091744659960738772e+00
1.873125628140703500e+15,2.598987891749997114e+00,1.189004055000011384e+01,2.767189877490200178e+00,3.561422538848705965e+00,3.083834231044372043e+00
1.888683417085427000e+15,2.594368288493007491e+00,1.187004065000011188e+01,2.751667372039595882e+00,3.540215480537741488e+00,3.075984638056966425e+00
1.904241206030150750e+15,2.589802922880317215e+00,1.185004075000010815e+01,2.737187413257200053e+00,3.519421943745295156e+00,3.068222728259943022e+00
1.919798994974874250e+15,2.585283780794831454e+00,1.183004085000010619e+01,2.723273468755728732e+00,3.498996202180207238e+00,3.060545139453906494e+00
1.935356783919598000e+15,2.580724525595826435e+00,1.181004095000010423e+01,2.710053313944424502e+00,3.478542514880848202e+00,3.052801586605769391e+00
1.950914572864321500e+15,2.576155527799223854e+00,1.179004105000010227e+01,2.697379523535275769e+00,3.458202181689677968e+00,3.045049938533773037e+00
1.966472361809045000e+15,2.571653092065085300e+00,1.177004115000010032e+01,2.685431984101495306e+00,3.438296929069533547e+00,3.037392548877966725e+00
1.982030150753768750e+15,2.567207477712382335e+00,1.175004125000009836e+01,2.674251408139787678e+00,3.418782396406217394e+00,3.029833604545581149e+00
1.997587939698492250e+15,2.562754102207610796e+00,1.173004135000009640e+01,2.663540680412918249e+00,3.399373581032115066e+00,3.022279297602925130e+00
2.013145728643216000e+15,2.558269139442358231e+00,1.171004145000009267e+01,2.653195109591878875e+00,3.379958718859000122e+00,3.014662290105150078e+00
2.028703517587939500e+15,2.553839107235732264e+00,1.169004155000009071e+01,2.643690661198779157e+00,3.360915990648562168e+00,3.007144811078559687e+00
2.044261306532663250e+15,2.549475721139772944e+00,1.167004165000008875e+01,2.634661406300483399e+00,3.342278090938811896e+00,2.999727289266333585e+00
2.059819095477386750e+15,2.545144565480014887e+00,1.166004170000008777e+01,2.626267073968688859e+00,3.323902601394195688e+00,2.992374636101321705e+00
2.075376884422110500e+15,2.540741719693961898e+00,1.164004180000008581e+01,2.617999966061566930e+00,3.305340725792289991e+00,2.984901720417680870e+00
