rhoc,M,R,Lambda,I,Mb
4.602532663316582500e+14,6.377643126547390962e-01,1.231003845000016028e+01,4.006495559814517037e+04,4.933792373061094416e-01,6.636701265664588512e-01
4.676361809045226250e+14,6.623510931391032308e-01,1.231003845000016028e+01,3.357585085150647501e+04,5.212851747520547141e-01,6.905324388984077633e-01
4.750190954773869375e+14,6.862447478204655171e-01,1.230003850000015930e+01,2.842233340130736178e+04,5.488976117341094474e-01,7.167290927509815113e-01
4.824020100502512500e+14,7.094379350991877331e-01,1.230003850000015930e+01,2.428361328980400867e+04,5.761454032944054449e-01,7.422449446598092804e-01
4.897849246231155625e+14,7.319339472916849276e-01,1.230003850000015930e+01,2.092604187751144855e+04,6.029740995962271644e-01,7.670768427520400223e-01
4.971678391959798750e+14,7.537417815018524481e-01,1.231003845000016028e+01,1.817258161463151191e+04,6.293394927192237365e-01,7.912282676095994116e-01
5.045507537688442500e+14,7.827512527253823738e-01,1.231003845000016028e+01,1.513435336349965655e+04,6.649515736904239027e-01,8.234768011234879781e-01
5.119336683417085000e+14,8.120046792840175387e-01,1.232003840000016126e+01,1.265160042933411933e+04,7.015254088831092139e-01,8.561351255875812027e-01
5.193165829145728750e+14,8.404621391635844763e-01,1.232003840000016126e+01,1.067819776003665174e+04,7.377441636192686447e-01,8.880388570782500324e-01
5.266994974874371875e+14,8.681025442300185357e-01,1.233003835000016224e+01,9.094265129651934330e+03,7.735171122686521628e-01,9.191539512297201009e-01
5.340824120603015000e+14,8.949199636053484230e-01,1.234003830000016322e+01,7.810726571725199392e+03,8.087700492253824258e-01,9.494640908586643446e-01
5.414653266331658125e+14,9.209182306009791041e-01,1.235003825000016420e+01,6.761054335588277354e+03,8.434445166186644860e-01,9.789639150065628792e-01
5.488482412060301250e+14,9.461016730846959488e-01,1.236003820000016518e+01,5.895073476329687765e+03,8.774798615085135367e-01,1.007648967462383194e+00
5.562311557788944375e+14,9.704817840553550123e-01,1.237003815000016793e+01,5.174850902967812544e+03,9.108313756453172427e-01,1.035523648549432352e+00
5.636140703517587500e+14,9.940782468171545094e-01,1.238003810000016891e+01,4.571035032753901760e+03,9.434714284741611001e-01,1.062601855193078704e+00
5.709969849246231250e+14,1.024935708471440554e+00,1.239003805000016989e+01,3.897616354156120906e+03,9.866848404225071478e-01,1.098161884984097725e+00
5.783798994974875000e+14,1.055811840176428484e+00,1.240003800000017087e+01,3.333979441863114516e+03,1.030569364640369745e+00,1.133911520119482041e+00
5.857628140703517500e+14,1.085731717466264401e+00,1.241003795000017185e+01,2.874097161458872961e+03,1.073714592783506339e+00,1.168715964242129424e+00
5.931457286432160000e+14,1.114703483026088460e+00,1.242003790000017283e+01,2.495922547395060519e+03,1.116074140381102531e+00,1.202570460301296773e+00
6.005286432160803750e+14,1.142728158839031671e+00,1.243003785000017380e+01,2.182469232456845020e+03,1.157576265970089002e+00,1.235464088274231376e+00
6.079115577889447500e+14,1.169828176374501982e+00,1.245003775000017576e+01,1.920681485616524014e+03,1.198189910788884260e+00,1.267410663440881047e+00
6.152944723618090000e+14,1.196008534694434688e+00,1.245003775000017576e+01,1.700386475906661417e+03,1.237850698550199580e+00,1.298404944796368143e+00
6.226773869346733750e+14,1.221310080108379603e+00,1.246003770000017674e+01,1.513849373349263487e+03,1.276574852853082476e+00,1.328483178438790047e+00
6.300603015075377500e+14,1.245738473601740059e+00,1.247003765000017772e+01,1.354851767598840297e+03,1.314299241644588889e+00,1.357642779441240455e+00
6.374432160804020000e+14,1.276600436384775383e+00,1.248003760000017870e+01,1.179562630322905079e+03,1.362435404551495921e+00,1.394650986423785488e+00
6.448261306532662500e+14,1.307212218743282195e+00,1.249003755000017968e+01,1.030099745271029406e+03,1.410760645501545785e+00,1.431543636208719716e+00
6.522090452261306250e+14,1.336741025395220328e+00,1.250003750000018243e+01,9.053550605331354291e+02,1.457900628944182708e+00,1.467308800499171006e+00
6.595919597989950000e+14,1.365223332569348358e+00,1.251003745000018341e+01,8.004906837749651913e+02,1.503863815950197358e+00,1.501973149411177433e+00
6.669748743718592500e+14,1.392698433491096788e+00,1.252003740000018439e+01,7.118128223171822810e+02,1.548662512025161364e+00,1.535568322907369998e+00
6.743577889447236250e+14,1.419176708826241029e+00,1.252003740000018439e+01,6.363243259024197869e+02,1.592235346582564270e+00,1.568094021616621703e+00
6.817407035175880000e+14,1.444692143357566572e+00,1.253003735000018537e+01,5.716302505821336126e+02,1.634577748527520136e+00,1.599578649569235012e+00
6.891236180904522500e+14,1.469284639982435525e+00,1.253003735000018537e+01,5.159641029814383728e+02,1.675716661148300979e+00,1.630057617828716943e+00
6.965065326633165000e+14,1.492972159390772546e+00,1.254003730000018635e+01,4.677530468722974319e+02,1.715612030069179506e+00,1.659542839688282978e+00
7.038894472361808750e+14,1.520990142082016439e+00,1.254003730000018635e+01,4.168057705937606556e+02,1.763148069095408887e+00,1.694580698618832093e+00
7.112723618090452500e+14,1.548473553881992482e+00,1.255003725000018733e+01,3.725066436557024758e+02,1.810165096451930022e+00,1.729121878703632431e+00
7.186552763819095000e+14,1.574896779049037576e+00,1.255003725000018733e+01,3.345809017271930088e+02,1.855712565907509104e+00,1.762493437628707582e+00
7.260381909547738750e+14,1.600311747741165247e+00,1.255003725000018733e+01,3.019241743506046305e+02,1.899850410752133012e+00,1.794743241402322331e+00
7.334211055276382500e+14,1.624756242922923644e+00,1.256003720000018831e+01,2.736507054041662741e+02,1.942591517667185963e+00,1.825904637196985147e+00
7.408040201005025000e+14,1.648253849177997665e+00,1.256003720000018831e+01,2.490536618416739714e+02,1.983916696115697320e+00,1.855994846163482093e+00
7.481869346733667500e+14,1.670840023484443604e+00,1.256003720000018831e+01,2.275476611767164172e+02,2.023843612001475556e+00,1.885046647946065246e+00
7.555698492462311250e+14,1.692569489107449199e+00,1.256003720000018831e+01,2.086702504224758741e+02,2.062450093513890970e+00,1.913116321089686211e+00
