EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-H4_LAL.csv,0,0,1.23136589598,5.01765321132e+14,13.6763474193,1911.65650207,1.54532493578,1.33026226561,1.51042346037,6.28408451288e+14,13.65003175,550.731107351,2.01202373771,1.66584841718,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23165004438,5.01849329193e+14,13.6764400618,1909.12207676,1.54580548476,1.3305963342,1.51006053476,6.28209177947e+14,13.65003175,551.628953261,2.01144623346,1.66540212603,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23193413804,5.01933321069e+14,13.6765326864,1906.58813973,1.54628594116,1.33093033844,1.50969788374,6.28010055371e+14,13.65003175,552.526119887,2.01086916614,1.66495617253,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23221817699,5.02017296773e+14,13.6766252932,1904.05469061,1.54676630505,1.33126427836,1.50933550696,6.27811083373e+14,13.65003175,553.422608068,2.0102925352,1.66451055626,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23250216128,5.02101256315e+14,13.6767178822,1901.52172906,1.54724657648,1.33159815402,1.50897340408,6.27612261767e+14,13.65003175,554.318418641,2.00971634011,1.66406527681,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23278609095,5.02185199707e+14,13.6768104534,1898.98925472,1.54772675554,1.33193196545,1.50861157476,6.27413590368e+14,13.65003175,555.213552442,2.00914058032,1.66362033376,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23306996603,5.02269126962e+14,13.6769030067,1896.45726726,1.54820684228,1.33226571271,1.50825001867,6.2721506899e+14,13.65003175,556.108010308,2.0085652553,1.66317572669,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23335378656,5.0235303809e+14,13.6769955423,1893.9257663,1.54868683678,1.33259939584,1.50788873547,6.27016697448e+14,13.65003175,557.001793071,2.00799036452,1.6627314552,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23363755259,5.02436933103e+14,13.6770880601,1891.39475152,1.5491667391,1.33293301488,1.50752772482,6.26818475559e+14,13.65003175,557.894901564,2.00741590743,1.66228751887,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23392126415,5.02520812013e+14,13.6771805602,1888.86422255,1.54964654929,1.33326656989,1.50716698638,6.26620403136e+14,13.65003175,558.787336617,2.00684188351,1.66184391729,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23420492128,5.02604674831e+14,13.6772730425,1886.33417906,1.55012626744,1.33360006091,1.50680651983,6.26422479997e+14,13.65003175,559.679099061,2.00626829222,1.66140065004,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23448852402,5.02688521569e+14,13.6773655071,1883.80462068,1.55060589361,1.33393348799,1.50644632482,6.26224705957e+14,13.65003175,560.570189722,2.00569513303,1.66095771671,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23477207241,5.02772352238e+14,13.6774579539,1881.27554708,1.55108542786,1.33426685116,1.50608640103,6.26027080832e+14,13.65003175,561.460609427,2.0051224054,1.66051511689,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23505556649,5.0285616685e+14,13.6775503831,1878.74695791,1.55156487026,1.33460015048,1.50572674811,6.25829604441e+14,13.65003175,562.350359002,2.0045501088,1.66007285017,2.031383144492259
./macro-H4_LAL.csv,0,0,1.2353390063,5.02939965416e+14,13.6776427945,1876.21885281,1.55204422087,1.334933386,1.50536736574,6.256322766e+14,13.65003175,563.23943927,2.00397824272,1.65963091614,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23562239187,5.03023747948e+14,13.6777351883,1873.69123145,1.55252347976,1.33526655775,1.50500825359,6.25435097126e+14,13.65003175,564.127851054,2.0034068066,1.6591893144,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23590572324,5.03107514458e+14,13.6778275644,1871.16409347,1.553002647,1.33559966578,1.50464941131,6.25238065837e+14,13.65003175,565.015595174,2.00283579994,1.65874804453,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23618900046,5.03191264956e+14,13.6779199228,1868.63743853,1.55348172265,1.33593271015,1.50429083859,6.25041182552e+14,13.65003175,565.902672451,2.0022652222,1.65830710613,2.031383144492259
./macro-H4_LAL.csv,0,0,1.23647222357,5.03274999454e+14,13.6780122636,1866.11126629,1.55396070678,1.33626569089,1.50393253508,6.24844447089e+14,13.65003175,566.789083701,2.00169507285,1.65786649878,2.031383144492259
