rhoc,R,M,Lambda,I,Mb
6.611708542713572500e+14,1.191004045000011580e+01,9.453513462836521386e-01,3.061648955546364050e+03,8.048866120890991738e-01,1.004800661122763561e+00
6.704723618090456250e+14,1.190004050000011482e+01,9.657391941593419515e-01,2.727034061562201714e+03,8.287684512216085819e-01,1.028146626476419856e+00
6.797738693467341250e+14,1.190004050000011482e+01,9.859324775140423380e-01,2.435740049483280927e+03,8.525950924950042031e-01,1.051347709526991858e+00
6.890753768844225000e+14,1.189004055000011384e+01,1.005996647935307076e+00,2.179940268355567241e+03,8.764135428358400537e-01,1.074478601820924695e+00
6.983768844221110000e+14,1.188004060000011286e+01,1.026023099115690007e+00,1.954206732366361393e+03,9.003261459304638947e-01,1.097645629836139003e+00
7.076783919597995000e+14,1.188004060000011286e+01,1.045788643726339950e+00,1.756514872266066050e+03,9.240757405977365613e-01,1.120587595081617760e+00
7.169798994974880000e+14,1.187004065000011188e+01,1.065350337455970076e+00,1.581986451393707284e+03,9.476911145513186030e-01,1.143370881774722569e+00
7.262814070351763750e+14,1.187004065000011188e+01,1.084911631263892673e+00,1.426703024800265212e+03,9.714485767828796581e-01,1.166230895656708677e+00
7.355829145728647500e+14,1.186004070000011090e+01,1.104147798188230833e+00,1.289910925404045429e+03,9.949121224518796547e-01,1.188787895119407301e+00
7.448844221105532500e+14,1.185004075000010815e+01,1.123215480679214062e+00,1.168420436914698939e+03,1.018277051996889560e+00,1.211223226461754399e+00
7.541859296482417500e+14,1.185004075000010815e+01,1.142206294907324393e+00,1.059531371932596812e+03,1.041643197967129453e+00,1.233643856141610096e+00
7.634874371859302500e+14,1.184004080000010717e+01,1.160790815363000439e+00,9.637452793937774231e+02,1.064623682663801363e+00,1.255657968850722117e+00
7.727889447236186250e+14,1.183004085000010619e+01,1.179424520718192371e+00,8.768586114638560502e+02,1.087726992673573312e+00,1.277807506314823538e+00
7.820904522613070000e+14,1.183004085000010619e+01,1.197665242623890958e+00,7.998799017638708619e+02,1.110430859036124707e+00,1.299561798899835141e+00
7.913919597989955000e+14,1.182004090000010521e+01,1.215775934833023708e+00,7.305621388788191553e+02,1.133032101503979483e+00,1.321235285787648150e+00
8.006934673366840000e+14,1.181004095000010423e+01,1.233668131465994522e+00,6.684258302716136768e+02,1.155444094015638523e+00,1.342717846335854448e+00
8.099949748743723750e+14,1.181004095000010423e+01,1.251277662331512719e+00,6.127124480278877172e+02,1.177553672085954739e+00,1.363932452826385200e+00
8.192964824120608750e+14,1.180004100000010325e+01,1.268775864932321973e+00,5.621565739109008746e+02,1.199570429799804439e+00,1.385083659794184241e+00
8.285979899497493750e+14,1.179004105000010227e+01,1.285883150110975093e+00,5.169973937387136402e+02,1.221144270968323786e+00,1.405831846389798523e+00
8.378994974874377500e+14,1.178004110000010130e+01,1.302959233878097978e+00,4.756936242135935800e+02,1.242729755944847581e+00,1.426609769678667927e+00
8.472010050251262500e+14,1.177004115000010032e+01,1.319618403184387168e+00,4.386833904632349004e+02,1.263806488650581761e+00,1.446949044232456183e+00
8.565025125628146250e+14,1.176004120000009934e+01,1.336233164313015642e+00,4.048142588295721112e+02,1.284874215845364542e+00,1.467299582407269876e+00
8.658040201005031250e+14,1.176004120000009934e+01,1.352483081807239085e+00,3.742004486739325557e+02,1.305476337373134399e+00,1.487270332963168462e+00
8.751055276381916250e+14,1.175004125000009836e+01,1.368542653095699446e+00,3.463428128641074863e+02,1.325866677072501831e+00,1.507071770564573976e+00
8.844070351758800000e+14,1.174004130000009738e+01,1.384389169863818436e+00,3.209375061793246573e+02,1.346000539972822985e+00,1.526673636913423282e+00
8.937085427135685000e+14,1.173004135000009640e+01,1.399927170283013389e+00,2.979102717929381470e+02,1.365763267197978470e+00,1.545955164831779527e+00
9.030100502512568750e+14,1.172004140000009365e+01,1.415334348538869413e+00,2.766936504502554044e+02,1.385331461435191258e+00,1.565138978662318214e+00
9.123115577889453750e+14,1.171004145000009267e+01,1.430340988750670395e+00,2.575077914506883303e+02,1.404401345225706477e+00,1.583882960257596562e+00
9.216130653266338750e+14,1.170004150000009169e+01,1.445367585600341398e+00,2.396786309617153847e+02,1.423507316825769919e+00,1.602709568611107027e+00
9.309145728643222500e+14,1.169004155000009071e+01,1.459894483071661142e+00,2.235624896512418900e+02,1.441929030769152797e+00,1.620973424168409505e+00
9.402160804020107500e+14,1.168004160000008973e+01,1.474381190951354448e+00,2.086030928328304981e+02,1.460302638657670293e+00,1.639242086699149947e+00
9.495175879396992500e+14,1.166004170000008777e+01,1.488499532708677631e+00,1.949602359139628334e+02,1.478187924759918337e+00,1.657102332880114437e+00
9.588190954773876250e+14,1.165004175000008679e+01,1.502435979276364630e+00,1.823613982393168556e+02,1.495804370866724353e+00,1.674789577497287185e+00
9.681206030150761250e+14,1.164004180000008581e+01,1.516149564174468445e+00,1.707688392362936725e+02,1.513135734754859518e+00,1.692245814217851141e+00
9.774221105527645000e+14,1.163004185000008484e+01,1.529537671189799219e+00,1.601414665808426889e+02,1.529997050545563342e+00,1.709344220649877455e+00
9.867236180904530000e+14,1.162004190000008386e+01,1.542845293690502162e+00,1.502116915116677944e+02,1.546739206148968426e+00,1.726390387139379978e+00
9.960251256281415000e+14,1.161004195000008288e+01,1.555687734504356490e+00,1.412021146498329927e+02,1.562852259918817044e+00,1.742890850153191895e+00
1.005326633165829875e+15,1.159004205000007914e+01,1.568545229718964373e+00,1.326821451510526231e+02,1.578906564226549403e+00,1.759464303228884363e+00
1.014628140703518375e+15,1.158004210000007816e+01,1.580999003861530916e+00,1.249402363055459659e+02,1.594462025877128486e+00,1.775563283664989722e+00
1.023929648241206750e+15,1.157004215000007719e+01,1.593371180942990017e+00,1.176494471999332774e+02,1.609832821670124980e+00,1.791607313249406142e+00
1.033231155778895250e+15,1.156004220000007621e+01,1.605379930459071680e+00,1.109579334474769468e+02,1.624692955305572895e+00,1.807227260796009594e+00
1.042532663316583750e+15,1.154004230000007425e+01,1.617249268210265489e+00,1.047053805682283496e+02,1.639332161210501848e+00,1.822710564903101238e+00
1.051834170854272125e+15,1.153004235000007327e+01,1.628880215443600177e+00,9.889874964326327245e+01,1.653644553802181560e+00,1.837924977042622476e+00
1.061135678391960625e+15,1.152004240000007229e+01,1.640225822866859806e+00,9.352292305556548513e+01,1.667491192158644386e+00,1.852815076531013849e+00
1.070437185929649000e+15,1.150004250000007033e+01,1.651460188459563661e+00,8.846346653406763494e+01,1.681183259884925008e+00,1.867597989396101887e+00
1.079738693467337500e+15,1.149004255000006935e+01,1.662310089223286491e+00,8.381597674880585203e+01,1.694305067279358257e+00,1.881919305629771832e+00
1.089040201005026000e+15,1.148004260000006838e+01,1.673141852803988749e+00,7.940214571562835033e+01,1.707358916410943728e+00,1.896254571979166803e+00
1.098341708542714375e+15,1.146004270000006464e+01,1.683582990491599762e+00,7.534597812236704328e+01,1.719850296055995154e+00,1.910115585060112142e+00
1.107643216080402875e+15,1.145004275000006366e+01,1.693973535276934506e+00,7.149469989020867899e+01,1.732209853011128287e+00,1.923947461032481376e+00
1.116944723618091250e+15,1.143004285000006170e+01,1.704034327380318903e+00,6.793580162390463784e+01,1.744109085411494897e+00,1.937376950592676561e+00
1.126246231155779750e+15,1.142004290000006073e+01,1.713968456877408064e+00,6.457479007986685815e+01,1.755764903544393185e+00,1.950677400251630500e+00
1.135547738693468250e+15,1.141004295000005975e+01,1.723656473458269112e+00,6.144349363235211570e+01,1.767067009841720049e+00,1.963681476823840644e+00
1.144849246231156500e+15,1.139004305000005779e+01,1.733134055244586191e+00,5.850156174533528031e+01,1.778018137921134167e+00,1.976440885973592021e+00
1.154150753768845000e+15,1.138004310000005681e+01,1.742453024730050926e+00,5.573157394804992748e+01,1.788710992683368861e+00,1.989019510071565966e+00
1.163452261306533500e+15,1.136004320000005485e+01,1.751497361794849716e+00,5.315040375706310272e+01,1.799006333895166954e+00,2.001260705705819376e+00
1.172753768844222000e+15,1.135004325000005387e+01,1.760511648648634964e+00,5.068439478950681121e+01,1.809193425814954903e+00,2.013490310341907286e+00
1.182055276381910500e+15,1.133004335000005014e+01,1.769181267470065100e+00,4.839360595708371449e+01,1.818857440895081501e+00,2.025291776356071605e+00
1.191356783919599000e+15,1.132004340000004916e+01,1.777645623765005567e+00,4.624754936494073831e+01,1.828232397426785782e+00,2.036839975963214311e+00
