rhoc,M,R,Lambda,I,Mb
2.199839195979901500e+15,2.495011365225840549e+00,1.149004255000006935e+01,1.963125940619552035e+00,3.123808255956153079e+00,2.882370858673655167e+00
2.215396984924625250e+15,2.490909076123882571e+00,1.147004265000006562e+01,1.959829472599158295e+00,3.107581177666928429e+00,2.875494614005929872e+00
2.230954773869349000e+15,2.486834946715778649e+00,1.146004270000006464e+01,1.957620451927373439e+00,3.091555938108564217e+00,2.868664623018128967e+00
2.246512562814072500e+15,2.482780941342054071e+00,1.144004280000006268e+01,1.955465839642567705e+00,3.075695708053173050e+00,2.861867377657841605e+00
2.262070351758796000e+15,2.478759958889329429e+00,1.143004285000006170e+01,1.952940410889473011e+00,3.060054575667249033e+00,2.855136119931212857e+00
2.277628140703520000e+15,2.474760101699774228e+00,1.141004295000005975e+01,1.950943637816032528e+00,3.044572315339998614e+00,2.848430787487798543e+00
2.293185929648243500e+15,2.470787523571108757e+00,1.140004300000005877e+01,1.949319313440656787e+00,3.029285493593193657e+00,2.841788908368932720e+00
2.308743718592967000e+15,2.466835912219153215e+00,1.138004310000005681e+01,1.947697595793652647e+00,3.014156297385605310e+00,2.835172867201668279e+00
2.324301507537691000e+15,2.462934038048581797e+00,1.137004315000005583e+01,1.946539328640303879e+00,2.999296875929007733e+00,2.828646598933499234e+00
2.339859296482414000e+15,2.459031362554916722e+00,1.135004325000005387e+01,1.945521849779938695e+00,2.984509219901204435e+00,2.822115904447531243e+00
2.355417085427138000e+15,2.455180736805849140e+00,1.134004330000005112e+01,1.944655043404222905e+00,2.969992639233308473e+00,2.815675805243738949e+00
2.370974874371861500e+15,2.451336136236275554e+00,1.133004335000005014e+01,1.943757108313791671e+00,2.955572122645536925e+00,2.809248673033603261e+00
2.386532663316585000e+15,2.447530344734994312e+00,1.131004345000004818e+01,1.943135556069484737e+00,2.941367928733436887e+00,2.802887322334187026e+00
