rhoc,M,R,Lambda,I,Mb
9.675710552763840000e+14,1.885258332182825125e+00,1.302003490000024044e+01,8.457024688241506283e+01,2.471327640448149232e+00,2.143436885683629445e+00
9.766389949748765000e+14,1.890842117758193330e+00,1.300003500000023671e+01,8.162291810864924457e+01,2.473898096570972260e+00,2.150847706715922847e+00
9.857069346733690000e+14,1.896277585031169277e+00,1.298003510000023475e+01,7.881036112771107582e+01,2.476153709921784518e+00,2.158073885159471850e+00
9.947748743718615000e+14,1.901564971772233159e+00,1.295003525000023181e+01,7.612922599751675534e+01,2.478097327799687832e+00,2.165113202610523757e+00
1.003842814070354000e+15,1.906713388762641515e+00,1.293003535000022985e+01,7.357578397814504001e+01,2.479766479372205179e+00,2.171975052822162411e+00
1.012910753768846500e+15,1.911719430535747000e+00,1.291003545000022790e+01,7.113983745996547725e+01,2.481131332483225815e+00,2.178659733521321140e+00
1.021978693467339000e+15,1.916589768610218902e+00,1.289003555000022594e+01,6.880681890754436836e+01,2.482236069249903032e+00,2.185169657132882470e+00
1.031046633165831500e+15,1.921324316626718209e+00,1.287003565000022220e+01,6.657825075477778398e+01,2.483063443240919987e+00,2.191505817226687913e+00
1.040114572864324000e+15,1.925930353622649527e+00,1.285003575000022025e+01,6.444952072123064113e+01,2.483634055974502264e+00,2.197681723320242586e+00
1.049182512562816375e+15,1.930411265071728666e+00,1.283003585000021829e+01,6.241573972188105301e+01,2.483966795795629068e+00,2.203697561439515784e+00
1.058250452261308875e+15,1.934763351704713141e+00,1.281003595000021633e+01,6.046939959232140893e+01,2.484047830918867383e+00,2.209544769733671643e+00
1.067318391959801375e+15,1.938997608767987657e+00,1.278003610000021339e+01,5.860201743149217180e+01,2.483899140599954425e+00,2.215244059123993470e+00
1.076386331658293875e+15,1.943109459570587783e+00,1.276003620000021144e+01,5.681905619634910209e+01,2.483519680873003566e+00,2.220785917503949047e+00
1.085454271356786375e+15,1.947104568936367075e+00,1.274003630000020770e+01,5.510928771447741781e+01,2.482930582225079341e+00,2.226175347286440065e+00
1.094522211055278875e+15,1.950981712687185343e+00,1.272003640000020575e+01,5.346958371763747664e+01,2.482116949785625692e+00,2.231411508463967852e+00
1.103590150753771375e+15,1.954749992854272200e+00,1.270003650000020379e+01,5.189798479848583668e+01,2.481105740039563745e+00,2.236508521372254421e+00
1.112658090452263875e+15,1.958409614861085890e+00,1.268003660000020183e+01,5.039223114837311357e+01,2.479902858821774636e+00,2.241463811383529681e+00
1.121726030150756375e+15,1.961963920049193399e+00,1.265003675000019889e+01,4.894565652500227770e+01,2.478509322781198954e+00,2.246284092248580944e+00
1.130793969849249000e+15,1.965407124755338408e+00,1.263003685000019694e+01,4.755763425111128129e+01,2.476923932882619361e+00,2.250954506871146066e+00
1.139861909547741500e+15,1.968747526629354150e+00,1.261003695000019320e+01,4.622610785013088730e+01,2.475160753177672035e+00,2.255494389251714082e+00
1.148929849246233750e+15,1.971925546810397334e+00,1.259003705000019124e+01,4.497115778102244832e+01,2.473270765370227497e+00,2.259818244387903796e+00
1.157997788944726250e+15,1.974950567610890495e+00,1.257003715000018929e+01,4.378643048716467945e+01,2.471245135331133103e+00,2.263937856611987876e+00
1.167065728643218750e+15,1.977853431421174868e+00,1.255003725000018733e+01,4.265519454071835526e+01,2.469090426883097322e+00,2.267892863651391533e+00
1.176133668341711250e+15,1.980647480347669465e+00,1.253003735000018537e+01,4.157680873243731412e+01,2.466807849203242142e+00,2.271707170246013430e+00
1.185201608040203750e+15,1.983330558450739467e+00,1.251003745000018341e+01,4.054194175647196374e+01,2.464386504579072934e+00,2.275370895155584883e+00
1.194269547738696250e+15,1.985911658953093628e+00,1.249003755000017968e+01,3.955313989626662874e+01,2.461842718728966872e+00,2.278897710260388898e+00
1.203337487437188750e+15,1.988400237938473536e+00,1.247003765000017772e+01,3.860150743398027373e+01,2.459174390810731303e+00,2.282304636534243425e+00
1.212405427135681250e+15,1.990787765192996606e+00,1.245003775000017576e+01,3.768951638295405360e+01,2.456373243613012569e+00,2.285573401233220725e+00
1.221473366834173750e+15,1.993088399244782982e+00,1.243003785000017380e+01,3.681542077108228739e+01,2.453463691191181351e+00,2.288726059481292374e+00
1.230541306532666250e+15,1.995298411717532527e+00,1.241003795000017185e+01,3.597063763385835244e+01,2.450428979617881087e+00,2.291756814595967917e+00
1.239609246231158750e+15,1.997423606904463522e+00,1.239003805000016989e+01,3.515910489791278337e+01,2.447281835789840709e+00,2.294673902526166653e+00
1.248677185929651000e+15,1.999467988273713637e+00,1.237003815000016793e+01,3.437832167949426321e+01,2.444032739137282029e+00,2.297482147069545899e+00
1.257745125628143500e+15,2.001426286931241361e+00,1.235003825000016420e+01,3.362438074856007120e+01,2.440666350590050993e+00,2.300170983224377963e+00
1.266813065326636000e+15,2.003309672126964980e+00,1.233003835000016224e+01,3.289763534015358459e+01,2.437198888446244549e+00,2.302761789518268376e+00
1.275881005025128500e+15,2.005115585915115517e+00,1.232003840000016126e+01,3.219723078315841747e+01,2.433630057879637931e+00,2.305246321867583603e+00
1.284948944723621000e+15,2.006847300477701435e+00,1.230003850000015930e+01,3.151961559043933292e+01,2.429963360871087552e+00,2.307630505027423506e+00
1.294016884422113500e+15,2.008507772345142772e+00,1.228003860000015734e+01,3.086775638892586926e+01,2.426203252521522025e+00,2.309918943186708429e+00
1.303084824120606000e+15,2.010093824081473191e+00,1.226003870000015539e+01,3.023563343576979889e+01,2.422339890591571621e+00,2.312105648807114111e+00
1.312152763819098500e+15,2.011611268421720666e+00,1.224003880000015343e+01,2.962611567224936238e+01,2.418404499433337573e+00,2.314196951325388607e+00
1.321220703517591000e+15,2.013059047550821656e+00,1.222003890000014970e+01,2.903848435588755095e+01,2.414386968054446747e+00,2.316192229515617207e+00
1.330288643216083500e+15,2.014441270784065985e+00,1.220003900000014774e+01,2.846731718606249117e+01,2.410277476325582313e+00,2.318099101661942107e+00
1.339356582914576000e+15,2.015759841135789099e+00,1.219003905000014676e+01,2.791740980588452103e+01,2.406091186877607591e+00,2.319920218791406086e+00
1.348424522613068500e+15,2.017015798391478487e+00,1.217003915000014480e+01,2.738438203465072007e+01,2.401829634776876610e+00,2.321653217110813294e+00
1.357492462311561000e+15,2.018209292532394894e+00,1.215003925000014284e+01,2.686760716201738575e+01,2.397489259505797499e+00,2.323300200068834087e+00
