rhoc,R,M,Lambda,I,Mb
5.973869346733667500e+14,1.490002550000044934e+01,2.157337419048154015e+00,2.334689317789207337e+02,3.781588874324887328e+00,2.462415288605887209e+00
6.129447236180905000e+14,1.487002565000044640e+01,2.217035071788682199e+00,1.834588640133102899e+02,3.922302559498421104e+00,2.542323609493382985e+00
6.285025125628140000e+14,1.483002585000044249e+01,2.270395020315396639e+00,1.476721267246672937e+02,4.047845260797248379e+00,2.614535406152765251e+00
6.440603015075377500e+14,1.479002605000043680e+01,2.318023519425392198e+00,1.214183824877378584e+02,4.159305733274394790e+00,2.679654844412494352e+00
6.596180904522612500e+14,1.475002625000043288e+01,2.360611248507772597e+00,1.016794507750385748e+02,4.258081088572589934e+00,2.738446884491717803e+00
6.751758793969848750e+14,1.471002645000042897e+01,2.402887414369921260e+00,8.498902885124260820e+01,4.354780787163715416e+00,2.797376390658721235e+00
6.907336683417085000e+14,1.467002665000042327e+01,2.442052896375954241e+00,7.173385543569031597e+01,4.442874745741045572e+00,2.852477827253097953e+00
7.062914572864321250e+14,1.462002690000041838e+01,2.476907888090968068e+00,6.146700914092633639e+01,4.519615136236311059e+00,2.901951320331603412e+00
7.218492462311557500e+14,1.458002710000041446e+01,2.507976255646007679e+00,5.336842020493617866e+01,4.586254824313725997e+00,2.946420022132753225e+00
7.374070351758793750e+14,1.453002735000040779e+01,2.537192505732419168e+00,4.654900423271621435e+01,4.646983393063219836e+00,2.988578101581592428e+00
7.529648241206030000e+14,1.448002760000040290e+01,2.564808116417136130e+00,4.073129678374571938e+01,4.702155173423828494e+00,3.028746682306804328e+00
7.685226130653266250e+14,1.443002785000039800e+01,2.589328519947930562e+00,3.602955743927654453e+01,4.748980085818675256e+00,3.064674205718494804e+00
7.840804020100502500e+14,1.438002810000039133e+01,2.611090917382821175e+00,3.217635467653067849e+01,4.788285291685581591e+00,3.096790689709204347e+00
7.996381909547738750e+14,1.433002835000038644e+01,2.630779122730908082e+00,2.892538010715805186e+01,4.821586374886788207e+00,3.126045305384482109e+00
8.151959798994975000e+14,1.428002860000037977e+01,2.649642144795912202e+00,2.600060829982490418e+01,4.850993442686711177e+00,3.154260770364885946e+00
8.307537688442211250e+14,1.423002885000037487e+01,2.666293236689464496e+00,2.355938878600964870e+01,4.874461878910977042e+00,3.179320450791538910e+00
8.463115577889447500e+14,1.418002910000036998e+01,2.680980561232937820e+00,2.149911750970710855e+01,4.892667589684645435e+00,3.201558787635514935e+00
8.618693467336682500e+14,1.414002930000036429e+01,2.693926339704063810e+00,1.974321915159045204e+01,4.906230685136982572e+00,3.221274818098754267e+00
8.774271356783918750e+14,1.409002955000035939e+01,2.706211207439023436e+00,1.812373590349034558e+01,4.916432629585165692e+00,3.240091745661648037e+00
8.929849246231155000e+14,1.404002980000035450e+01,2.717017603474777054e+00,1.672612090511276506e+01,4.922656795949042596e+00,3.256728756835297833e+00
9.085427135678391250e+14,1.399003005000034783e+01,2.726417330335522138e+00,1.551912913000943917e+01,4.925266696422499813e+00,3.271280994264307740e+00
9.241005025125627500e+14,1.394003030000034293e+01,2.734596103538048606e+00,1.446979681061826639e+01,4.924844272671846213e+00,3.283998000069035417e+00
9.396582914572863750e+14,1.389003055000033626e+01,2.742012583204109344e+00,1.350832467268957693e+01,4.921525393187007325e+00,3.295589235488076252e+00
9.552160804020100000e+14,1.385003075000033235e+01,2.748505332828505399e+00,1.264413633044581076e+01,4.915381467626577461e+00,3.305790697209358697e+00
9.707738693467336250e+14,1.380003100000032745e+01,2.754024988264740958e+00,1.188479673076405341e+01,4.906998328360965722e+00,3.314496300600575207e+00
9.863316582914572500e+14,1.375003125000032078e+01,2.758658896449812215e+00,1.121304601891888097e+01,4.896582355273922715e+00,3.321841432377758974e+00
1.001889447236180875e+15,1.371003145000031687e+01,2.762610899760209904e+00,1.060195087505168132e+01,4.884135651155884439e+00,3.328135433985548453e+00
1.017447236180904500e+15,1.366003170000031197e+01,2.765956117981082318e+00,1.003503457900874096e+01,4.869502407263689214e+00,3.333491095806614624e+00
1.033005025125628125e+15,1.362003190000030628e+01,2.768606433200753170e+00,9.529232816837584608e+00,4.853464590371569187e+00,3.337752277697709324e+00
1.048562814070351750e+15,1.357003215000030139e+01,2.770634016126686916e+00,9.076375519962885718e+00,4.836214473050417517e+00,3.341033070865633725e+00
1.064120603015075375e+15,1.353003235000029747e+01,2.772105845170800720e+00,8.666038884711200652e+00,4.817765013267684360e+00,3.343438120475534348e+00
1.079678391959799000e+15,1.348003260000029080e+01,2.773122810934043336e+00,8.274968197235324396e+00,4.797330149511669362e+00,3.345118990662955039e+00
1.095236180904522500e+15,1.344003280000028688e+01,2.773671127710531259e+00,7.923105184188121264e+00,4.776221262323518069e+00,3.346037579499877790e+00
1.110793969849246125e+15,1.340003300000028297e+01,2.773770333943667676e+00,7.604142537499748222e+00,4.754403841498298533e+00,3.346237129501289154e+00
1.126351758793969750e+15,1.336003320000027728e+01,2.773465054490070081e+00,7.314254193787897762e+00,4.731986005738206380e+00,3.345793220638540344e+00
1.141909547738693500e+15,1.332003340000027336e+01,2.772793603804850182e+00,7.037198690982030769e+00,4.708095463874773401e+00,3.344742240924590604e+00
1.157467336683417000e+15,1.327003365000026847e+01,2.771759456041201108e+00,6.782799071460442697e+00,4.683562523415723433e+00,3.343109024489099745e+00
1.173025125628140500e+15,1.323003385000026277e+01,2.770422097607168954e+00,6.550329537804525870e+00,4.658769671657841727e+00,3.340973791313353924e+00
